Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TSOne,,,,2019-08-13 14:13:49,2019-08-13 14:13:59,9.795s,INCOMPLETE
,,,,,,,
Test Cases/ApiExtract,,,,2019-08-13 14:13:50,2019-08-13 14:13:59,8.914s,PASSED
"response = sendRequest(findTestObject(""ListAllUsers""))",,,,2019-08-13 14:13:51,2019-08-13 14:13:57,6.243s,PASSED
xml = new groovy.json.JsonSlurper(),,,,2019-08-13 14:13:57,2019-08-13 14:13:57,0.083s,PASSED
dataValue = xml.parseText(response.getResponseBodyContent()),,,,2019-08-13 14:13:57,2019-08-13 14:13:57,0.112s,PASSED
dataSpeci = email,,,,2019-08-13 14:13:57,2019-08-13 14:13:57,0.060s,PASSED
println(dataSpeci),,,,2019-08-13 14:13:57,2019-08-13 14:13:57,0.010s,PASSED
"response2 = sendRequest(findTestObject(""register"", [""email"":email]))",,,,2019-08-13 14:13:57,2019-08-13 14:13:59,1.451s,PASSED
xmlTwo = new groovy.json.JsonSlurper(),,,,2019-08-13 14:13:59,2019-08-13 14:13:59,0.000s,PASSED
